2023-08-18 01:17:32 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-18 01:17:32 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - Starting ElasticQueryWebClientApplication using Java 11.0.16 on localhost.localdomain with PID 16948 (/root/Downloads/technicalWork/idea-IC-222.3345.118/microservices-demo/elastic-query-web-client/target/classes started by root in /root/Downloads/technicalWork/idea-IC-222.3345.118/microservices-demo)
2023-08-18 01:17:32 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - The following 1 profile is active: "elastic_query_web"
2023-08-18 01:17:32 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
2023-08-18 01:17:32 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=config-client-elastic_query_web, profiles=[elastic_query_web], label=null, version=16163c425c33776cccdf1c91208da7b038f4f98b, state=null
2023-08-18 01:17:33 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=d6ecfeab-4acc-37cf-bb1d-317273954b50
2023-08-18 01:17:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-18 01:17:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-18 01:17:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-18 01:17:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8184 (http)
2023-08-18 01:17:34 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8184"]
2023-08-18 01:17:34 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-18 01:17:34 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2023-08-18 01:17:34 [main] INFO  o.a.c.c.C.[.[.[/elastic-query-web-client] - Initializing Spring embedded WebApplicationContext
2023-08-18 01:17:34 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1932 ms
2023-08-18 01:17:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@682e445e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79e10fb4, org.springframework.security.web.context.SecurityContextPersistenceFilter@245cb8df, org.springframework.security.web.header.HeaderWriterFilter@255d9277, org.springframework.security.web.csrf.CsrfFilter@755a7218, org.springframework.security.web.authentication.logout.LogoutFilter@251a90ce, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7f22687e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@241b971f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@79195c22, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70fede7d, org.springframework.security.web.session.SessionManagementFilter@712e787e, org.springframework.security.web.access.ExceptionTranslationFilter@24d8f87a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@341c6ac2]
2023-08-18 01:17:35 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2023-08-18 01:17:35 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-08-18 01:17:35 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8184"]
2023-08-18 01:17:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8184 (http) with context path '/elastic-query-web-client'
2023-08-18 01:17:35 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - Started ElasticQueryWebClientApplication in 12.66 seconds (JVM running for 13.67)
2023-08-18 02:10:23 [http-nio-8184-exec-1] INFO  o.a.c.c.C.[.[.[/elastic-query-web-client] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-18 02:10:23 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-18 02:10:23 [http-nio-8184-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
